Origin,Transit,Airport,Airlines,Destination,Traffic Condition,Weather Condition,Vehicle Available,Personel Available,Runway Occupancy Time,Estimated Time menit,Estimated Time spesifik
Jakarta(CGK),Jayapura (DJJ),Wamena Airport (WMX),Citilink,Papua Pegunungan,Heavy,Partly Cloudy,NOO,NOO,100,363,6 jam 3 menit
Jakarta(CGK),Jayapura (DJJ),Wamena Airport (WMX),AirAsia,Papua Pegunungan,Moderate,Fog,YESS,NOO,87,262,4 jam 22 menit
Jakarta(CGK),Jayapura (DJJ),Wamena Airport (WMX),Garuda Indonesia,Papua Pegunungan,Normal,Fog,YESS,NOO,117,169,2 jam 49 menit
Jakarta(CGK),Makassar (UPG),Wamena Airport (WMX),Lion Air,Papua Pegunungan,Moderate,Fog,NOO,NOO,55,206,3 jam 26 menit
Jakarta(CGK),Makassar (UPG),Wamena Airport (WMX),Sriwijaya Air,Papua Pegunungan,Moderate,Fog,YESS,YESS,76,207,3 jam 27 menit
Jakarta(CGK),Makassar (UPG),Wamena Airport (WMX),Citilink,Papua Pegunungan,Moderate,Fog,YESS,NOO,60,155,2 jam 35 menit
Jakarta(CGK),Makassar (UPG),Wamena Airport (WMX),AirAsia,Papua Pegunungan,Normal,Clear,NOO,YESS,72,205,3 jam 25 menit
Jakarta(CGK),Makassar (UPG),Wamena Airport (WMX),Garuda Indonesia,Papua Pegunungan,Heavy,Rain,YESS,YESS,80,225,3 jam 45 menit
Jakarta(CGK),Makassar (UPG),Nabire Airport (NBX),Lion Air,Papua Tengah,Heavy,Clear,NOO,YESS,114,187,3 jam 7 menit
Jakarta(CGK),Makassar (UPG),Nabire Airport (NBX),Sriwijaya Air,Papua Tengah,Heavy,Partly Cloudy,NOO,NOO,118,188,3 jam 8 menit
Jakarta(CGK),Makassar (UPG),Nabire Airport (NBX),Citilink,Papua Tengah,Normal,Rain,YESS,YESS,116,346,5 jam 46 menit
Jakarta(CGK),Makassar (UPG),Nabire Airport (NBX),AirAsia,Papua Tengah,Moderate,Partly Cloudy,NOO,YESS,103,276,4 jam 36 menit
Jakarta(CGK),Makassar (UPG),Nabire Airport (NBX),Garuda Indonesia,Papua Tengah,Moderate,Rain,NOO,YESS,82,323,5 jam 23 menit
Jakarta(CGK),Surabaya (SUB),Nabire Airport (NBX),Lion Air,Papua Tengah,Moderate,Rain,YESS,NOO,67,332,5 jam 32 menit
Jakarta(CGK),Surabaya (SUB),Nabire Airport (NBX),Sriwijaya Air,Papua Tengah,Heavy,Partly Cloudy,NOO,NOO,62,280,4 jam 40 menit
Jakarta(CGK),Surabaya (SUB),Nabire Airport (NBX),Citilink,Papua Tengah,Heavy,Clear,YESS,YESS,56,195,3 jam 15 menit
Jakarta(CGK),Surabaya (SUB),Nabire Airport (NBX),AirAsia,Papua Tengah,Moderate,Partly Cloudy,YESS,NOO,114,416,6 jam 56 menit
Jakarta(CGK),Surabaya (SUB),Nabire Airport (NBX),Garuda Indonesia,Papua Tengah,Moderate,Clear,NOO,NOO,69,386,6 jam 26 menit
Jakarta(CGK),Langsung,Sentani International Airport (DJJ),Lion Air,Papua,Heavy,Partly Cloudy,YESS,YESS,56,302,5 jam 2 menit
Jakarta(CGK),Langsung,Sentani International Airport (DJJ),Sriwijaya Air,Papua,Moderate,Partly Cloudy,NOO,YESS,119,255,4 jam 15 menit
Jakarta(CGK),Langsung,Sentani International Airport (DJJ),Citilink,Papua,Moderate,Fog,YESS,YESS,66,239,3 jam 59 menit
Jakarta(CGK),Langsung,Sentani International Airport (DJJ),AirAsia,Papua,Heavy,Partly Cloudy,NOO,YESS,103,410,6 jam 50 menit
Jakarta(CGK),Langsung,Sentani International Airport (DJJ),Garuda Indonesia,Papua,Moderate,Clear,YESS,YESS,56,427,7 jam 7 menit
Jakarta(CGK),Makassar (UPG),Sentani International Airport (DJJ),Lion Air,Papua,Normal,Partly Cloudy,YESS,YESS,71,167,2 jam 47 menit
Jakarta(CGK),Makassar (UPG),Sentani International Airport (DJJ),Sriwijaya Air,Papua,Moderate,Partly Cloudy,NOO,NOO,90,134,2 jam 14 menit
Jakarta(CGK),Makassar (UPG),Sentani International Airport (DJJ),Citilink,Papua,Moderate,Rain,NOO,NOO,114,379,6 jam 19 menit
Jakarta(CGK),Makassar (UPG),Sentani International Airport (DJJ),AirAsia,Papua,Normal,Fog,NOO,NOO,92,210,3 jam 30 menit
Jakarta(CGK),Makassar (UPG),Sentani International Airport (DJJ),Garuda Indonesia,Papua,Moderate,Partly Cloudy,NOO,NOO,93,193,3 jam 13 menit
Jakarta(CGK),Makassar (UPG),Mopah Airport (MKQ),Lion Air,Papua Selatan,Heavy,Rain,YESS,NOO,98,227,3 jam 47 menit
Jakarta(CGK),Makassar (UPG),Mopah Airport (MKQ),Sriwijaya Air,Papua Selatan,Moderate,Partly Cloudy,NOO,NOO,85,311,5 jam 11 menit
Jakarta(CGK),Makassar (UPG),Mopah Airport (MKQ),Citilink,Papua Selatan,Moderate,Fog,YESS,YESS,58,277,4 jam 37 menit
Jakarta(CGK),Makassar (UPG),Mopah Airport (MKQ),AirAsia,Papua Selatan,Moderate,Clear,NOO,NOO,54,148,2 jam 28 menit
Jakarta(CGK),Makassar (UPG),Mopah Airport (MKQ),Garuda Indonesia,Papua Selatan,Moderate,Partly Cloudy,NOO,YESS,68,357,5 jam 57 menit
Jakarta(CGK),Denpasar (DPS),Mopah Airport (MKQ),Lion Air,Papua Selatan,Moderate,Clear,YESS,NOO,65,273,4 jam 33 menit
Jakarta(CGK),Denpasar (DPS),Mopah Airport (MKQ),Sriwijaya Air,Papua Selatan,Normal,Rain,NOO,YESS,97,424,7 jam 4 menit
Jakarta(CGK),Denpasar (DPS),Mopah Airport (MKQ),Citilink,Papua Selatan,Moderate,Clear,YESS,NOO,61,180,3 jam 0 menit
Jakarta(CGK),Denpasar (DPS),Mopah Airport (MKQ),AirAsia,Papua Selatan,Moderate,Rain,YESS,NOO,118,395,6 jam 35 menit
Jakarta(CGK),Denpasar (DPS),Mopah Airport (MKQ),Garuda Indonesia,Papua Selatan,Heavy,Clear,NOO,NOO,118,159,2 jam 39 menit
